phase,year,“25 +”,“23 + “,“21 + “,“22 + “,“21 + “,“21 – 24”,“21 – 22”,“18 – 21”,“18 – 20”,“16 – 17”,apprentice
1,1999,,,,£3.60,,,,£3.00,,,
1,2000,,,,£3.60,,,,£3.20,,,
1,2000,,,,£3.70,,,,£3.20,,,
1,2001,,,,£4.10,,,,£3.50,,,
1,2002,,,,£4.20,,,,£3.60,,,
1,2003,,,,£4.50,,,,£3.80,,,
1,2004,,,,£4.85,,,,£4.10,,£3.00,
1,2005,,,,£5.05,,,,£4.25,,£3.00,
1,2006,,,,£5.35,,,,£4.45,,£3.30,
1,2007,,,,£5.52,,,,£4.60,,£3.40,
1,2008,,,,£5.73,,,,£4.77,,£3.53,
1,2009,,,,£5.80,,,,£4.83,,£3.57,
2,2010,,,,,£5.93,,,,£4.92,£3.64,£2.50
2,2011,,,,,£6.08,,,,£4.98,£3.68,£2.60
2,2012,,,,,£6.19,,,,£4.98,£3.68,£2.65
2,2013,,,,,£6.31,,,,£5.03,£3.72,£2.68
2,2014,,,,,£6.50,,,,£5.13,£3.79,£2.73
2,2015,,,,,£6.70,,,,£5.30,£3.87,£3.30
3,2016,£7.20,,,,,£6.95,,,£5.55,£4.00,£3.40
3,2017,£7.50,,,,,£7.05,,,£5.60,£4.05,£3.50
3,2018,£7.83,,,,,£7.38,,,£5.90,£4.20,£3.70
3,2019,£8.21,,,,,£7.70,,,£6.15,£4.35,£3.90
3,2020,£8.72,,,,,£8.20,,,£6.45,£4.55,£4.15
4,2021,,£8.91,,,,,£8.36,,£6.56,£4.62,£4.30
4,2022,,£9.50,,,,,£9.18,,£6.83,£4.81,£4.81
4,2023,,£10.42,,,,,£10.18,,£7.49,£5.28,£5.28
5,2024,,,£11.44,,,,,,£8.60,£6.40,£6.40
5,2025,,,£12.21,,,,,,£10.00,£7.55,£7.55
